read name: @SOMEREAD_83, chromosome: Chromosome_2, strand: +, position: 1707 
read name: @SOMEREAD_8644, chromosome: Chromosome_0, strand: +, position: 143426 
read name: @SOMEREAD_2508, chromosome: Chromosome_2, strand: +, position: 54351 
read name: @SOMEREAD_4359, chromosome: Chromosome_1, strand: +, position: 168055 
read name: @SOMEREAD_6520, chromosome: Chromosome_0, strand: +, position: 28887 
read name: @SOMEREAD_6121, chromosome: Chromosome_1, strand: +, position: 8996 
read name: @SOMEREAD_1105, chromosome: Chromosome_1, strand: +, position: 9816 
read name: @SOMEREAD_8503, chromosome: Chromosome_2, strand: +, position: 98330 
read name: @SOMEREAD_1377, chromosome: Chromosome_0, strand: +, position: 76486 
read name: @SOMEREAD_9259, chromosome: Chromosome_2, strand: +, position: 74963 
read name: @SOMEREAD_2730, chromosome: Chromosome_2, strand: +, position: 18687 
read name: @SOMEREAD_6154, chromosome: Chromosome_1, strand: +, position: 99117 
read name: @SOMEREAD_3189, chromosome: Chromosome_2, strand: +, position: 94198 
read name: @SOMEREAD_7093, chromosome: Chromosome_1, strand: +, position: 192533 
read name: @SOMEREAD_8321, chromosome: Chromosome_0, strand: +, position: 166624 
read name: @SOMEREAD_437, chromosome: Chromosome_1, strand: +, position: 22412 
read name: @SOMEREAD_3924, chromosome: Chromosome_1, strand: +, position: 157906 
read name: @SOMEREAD_7790, chromosome: Chromosome_2, strand: +, position: 32357 
read name: @SOMEREAD_7071, chromosome: Chromosome_2, strand: +, position: 38651 
read name: @SOMEREAD_9888, chromosome: Chromosome_1, strand: +, position: 88505 
read name: @SOMEREAD_1443, chromosome: Chromosome_0, strand: +, position: 415729 
read name: @SOMEREAD_4654, chromosome: Chromosome_1, strand: +, position: 208818 
read name: @SOMEREAD_6214, chromosome: Chromosome_2, strand: +, position: 54673 
read name: @SOMEREAD_9545, chromosome: Chromosome_0, strand: +, position: 26149 
read name: @SOMEREAD_5003, chromosome: Chromosome_1, strand: +, position: 190299 
read name: @SOMEREAD_2506, chromosome: Chromosome_0, strand: +, position: 438496 
read name: @SOMEREAD_1961, chromosome: Chromosome_2, strand: +, position: 79643 
read name: @SOMEREAD_5372, chromosome: Chromosome_1, strand: +, position: 128187 
read name: @SOMEREAD_2224, chromosome: Chromosome_2, strand: +, position: 78198 
read name: @SOMEREAD_2427, chromosome: Chromosome_1, strand: +, position: 103313 
read name: @SOMEREAD_1748, chromosome: Chromosome_1, strand: +, position: 204025 
read name: @SOMEREAD_5673, chromosome: Chromosome_1, strand: +, position: 176884 
read name: @SOMEREAD_123, chromosome: Chromosome_1, strand: +, position: 125500 
read name: @SOMEREAD_7148, chromosome: Chromosome_0, strand: +, position: 3532 
read name: @SOMEREAD_4848, chromosome: Chromosome_2, strand: +, position: 32632 
read name: @SOMEREAD_8785, chromosome: Chromosome_2, strand: +, position: 8545 
read name: @SOMEREAD_169, chromosome: Chromosome_1, strand: +, position: 10731 
read name: @SOMEREAD_6572, chromosome: Chromosome_2, strand: +, position: 95641 
read name: @SOMEREAD_9708, chromosome: Chromosome_0, strand: +, position: 326550 
read name: @SOMEREAD_561, chromosome: Chromosome_1, strand: +, position: 146578 
read name: @SOMEREAD_4782, chromosome: Chromosome_0, strand: +, position: 86706 
read name: @SOMEREAD_7793, chromosome: Chromosome_0, strand: +, position: 469271 
read name: @SOMEREAD_7640, chromosome: Chromosome_2, strand: +, position: 5399 
read name: @SOMEREAD_9035, chromosome: Chromosome_2, strand: +, position: 26793 
read name: @SOMEREAD_5461, chromosome: Chromosome_0, strand: +, position: 88917 
read name: @SOMEREAD_8348, chromosome: Chromosome_0, strand: +, position: 217195 
read name: @SOMEREAD_9985, chromosome: Chromosome_1, strand: +, position: 89521 
read name: @SOMEREAD_6450, chromosome: Chromosome_0, strand: +, position: 437485 
read name: @SOMEREAD_318, chromosome: Chromosome_2, strand: +, position: 86291 
read name: @SOMEREAD_3337, chromosome: Chromosome_0, strand: +, position: 16292 
read name: @SOMEREAD_8375, chromosome: Chromosome_1, strand: +, position: 154505 
read name: @SOMEREAD_4597, chromosome: Chromosome_1, strand: +, position: 89482 
read name: @SOMEREAD_6357, chromosome: Chromosome_1, strand: +, position: 114676 
read name: @SOMEREAD_8428, chromosome: Chromosome_1, strand: +, position: 5325 
read name: @SOMEREAD_8984, chromosome: Chromosome_1, strand: +, position: 50491 
read name: @SOMEREAD_788, chromosome: Chromosome_0, strand: +, position: 127427 
read name: @SOMEREAD_7708, chromosome: Chromosome_0, strand: +, position: 205712 
read name: @SOMEREAD_8903, chromosome: Chromosome_2, strand: +, position: 11029 
read name: @SOMEREAD_7937, chromosome: Chromosome_0, strand: +, position: 116500 
read name: @SOMEREAD_8696, chromosome: Chromosome_0, strand: +, position: 148240 
read name: @SOMEREAD_2972, chromosome: Chromosome_2, strand: +, position: 90617 
read name: @SOMEREAD_560, chromosome: Chromosome_0, strand: +, position: 225166 
read name: @SOMEREAD_5514, chromosome: Chromosome_2, strand: +, position: 34453 
read name: @SOMEREAD_8043, chromosome: Chromosome_1, strand: +, position: 183961 
read name: @SOMEREAD_9765, chromosome: Chromosome_1, strand: +, position: 131472 
read name: @SOMEREAD_2151, chromosome: Chromosome_0, strand: +, position: 346834 
read name: @SOMEREAD_5531, chromosome: Chromosome_0, strand: +, position: 333070 
read name: @SOMEREAD_3545, chromosome: Chromosome_1, strand: +, position: 112141 
read name: @SOMEREAD_7476, chromosome: Chromosome_1, strand: +, position: 184368 
read name: @SOMEREAD_2674, chromosome: Chromosome_1, strand: +, position: 56657 
read name: @SOMEREAD_2371, chromosome: Chromosome_1, strand: +, position: 95994 
read name: @SOMEREAD_3607, chromosome: Chromosome_2, strand: +, position: 93922 
read name: @SOMEREAD_9441, chromosome: Chromosome_2, strand: +, position: 11704 
read name: @SOMEREAD_4691, chromosome: Chromosome_2, strand: +, position: 81356 
read name: @SOMEREAD_3374, chromosome: Chromosome_2, strand: +, position: 21858 
read name: @SOMEREAD_7908, chromosome: Chromosome_1, strand: +, position: 174609 
read name: @SOMEREAD_6394, chromosome: Chromosome_0, strand: +, position: 293 
read name: @SOMEREAD_6003, chromosome: Chromosome_0, strand: +, position: 215054 
read name: @SOMEREAD_6775, chromosome: Chromosome_2, strand: +, position: 45372 
read name: @SOMEREAD_5065, chromosome: Chromosome_2, strand: +, position: 69050 
read name: @SOMEREAD_7845, chromosome: Chromosome_2, strand: +, position: 81870 
read name: @SOMEREAD_8872, chromosome: Chromosome_2, strand: +, position: 83201 
read name: @SOMEREAD_4132, chromosome: Chromosome_1, strand: +, position: 72654 
read name: @SOMEREAD_8541, chromosome: Chromosome_2, strand: +, position: 33137 
read name: @SOMEREAD_9890, chromosome: Chromosome_1, strand: +, position: 200465 
read name: @SOMEREAD_7802, chromosome: Chromosome_0, strand: +, position: 55995 
read name: @SOMEREAD_1992, chromosome: Chromosome_2, strand: +, position: 752 
read name: @SOMEREAD_2088, chromosome: Chromosome_1, strand: +, position: 47780 
read name: @SOMEREAD_6473, chromosome: Chromosome_2, strand: +, position: 12750 
read name: @SOMEREAD_3317, chromosome: Chromosome_2, strand: +, position: 608 
read name: @SOMEREAD_8293, chromosome: Chromosome_2, strand: +, position: 90898 
read name: @SOMEREAD_4721, chromosome: Chromosome_0, strand: +, position: 276657 
read name: @SOMEREAD_832, chromosome: Chromosome_1, strand: +, position: 114249 
read name: @SOMEREAD_3852, chromosome: Chromosome_2, strand: +, position: 48279 
read name: @SOMEREAD_3701, chromosome: Chromosome_0, strand: +, position: 5881 
read name: @SOMEREAD_4187, chromosome: Chromosome_0, strand: +, position: 437841 
read name: @SOMEREAD_5230, chromosome: Chromosome_1, strand: +, position: 125746 
read name: @SOMEREAD_6732, chromosome: Chromosome_1, strand: +, position: 150667 
read name: @SOMEREAD_7098, chromosome: Chromosome_0, strand: +, position: 306363 
read name: @SOMEREAD_3583, chromosome: Chromosome_0, strand: +, position: 285733 
read name: @SOMEREAD_8476, chromosome: Chromosome_1, strand: +, position: 161275 
read name: @SOMEREAD_4331, chromosome: Chromosome_2, strand: +, position: 85476 
read name: @SOMEREAD_3662, chromosome: Chromosome_1, strand: +, position: 197921 
read name: @SOMEREAD_4016, chromosome: Chromosome_1, strand: +, position: 1437 
read name: @SOMEREAD_1003, chromosome: Chromosome_1, strand: +, position: 43303 
read name: @SOMEREAD_9398, chromosome: Chromosome_2, strand: +, position: 33368 
read name: @SOMEREAD_6873, chromosome: Chromosome_1, strand: +, position: 119778 
read name: @SOMEREAD_9767, chromosome: Chromosome_0, strand: +, position: 338872 
read name: @SOMEREAD_2626, chromosome: Chromosome_0, strand: +, position: 37650 
read name: @SOMEREAD_4873, chromosome: Chromosome_1, strand: +, position: 249097 
read name: @SOMEREAD_7262, chromosome: Chromosome_1, strand: +, position: 181679 
read name: @SOMEREAD_3952, chromosome: Chromosome_0, strand: +, position: 296772 
read name: @SOMEREAD_5427, chromosome: Chromosome_0, strand: +, position: 301976 
read name: @SOMEREAD_8251, chromosome: Chromosome_0, strand: +, position: 165546 
read name: @SOMEREAD_3421, chromosome: Chromosome_1, strand: +, position: 154411 
read name: @SOMEREAD_4495, chromosome: Chromosome_2, strand: +, position: 75509 
read name: @SOMEREAD_3475, chromosome: Chromosome_2, strand: +, position: 24528 
read name: @SOMEREAD_6639, chromosome: Chromosome_0, strand: +, position: 393143 
read name: @SOMEREAD_6017, chromosome: Chromosome_1, strand: +, position: 63470 
read name: @SOMEREAD_9569, chromosome: Chromosome_1, strand: +, position: 37995 
read name: @SOMEREAD_7743, chromosome: Chromosome_2, strand: +, position: 44008 
read name: @SOMEREAD_8818, chromosome: Chromosome_2, strand: +, position: 53018 
read name: @SOMEREAD_9846, chromosome: Chromosome_1, strand: +, position: 242477 
read name: @SOMEREAD_7160, chromosome: Chromosome_0, strand: +, position: 415937 
read name: @SOMEREAD_6996, chromosome: Chromosome_1, strand: +, position: 146538 
read name: @SOMEREAD_2018, chromosome: Chromosome_2, strand: +, position: 21071 
read name: @SOMEREAD_8726, chromosome: Chromosome_1, strand: +, position: 201165 
read name: @SOMEREAD_3792, chromosome: Chromosome_1, strand: +, position: 19135 
read name: @SOMEREAD_7538, chromosome: Chromosome_1, strand: +, position: 178690 
read name: @SOMEREAD_3688, chromosome: Chromosome_1, strand: +, position: 65081 
read name: @SOMEREAD_2023, chromosome: Chromosome_2, strand: +, position: 34368 
read name: @SOMEREAD_8914, chromosome: Chromosome_2, strand: +, position: 92384 
read name: @SOMEREAD_7373, chromosome: Chromosome_1, strand: +, position: 81682 
read name: @SOMEREAD_9593, chromosome: Chromosome_0, strand: +, position: 92856 
read name: @SOMEREAD_5796, chromosome: Chromosome_0, strand: +, position: 399741 
read name: @SOMEREAD_1815, chromosome: Chromosome_2, strand: +, position: 85995 
read name: @SOMEREAD_224, chromosome: Chromosome_0, strand: +, position: 337580 
read name: @SOMEREAD_3820, chromosome: Chromosome_2, strand: +, position: 54426 
read name: @SOMEREAD_8259, chromosome: Chromosome_2, strand: +, position: 30703 
read name: @SOMEREAD_8507, chromosome: Chromosome_0, strand: +, position: 280371 
read name: @SOMEREAD_3400, chromosome: Chromosome_1, strand: +, position: 15010 
read name: @SOMEREAD_6023, chromosome: Chromosome_0, strand: +, position: 81764 
read name: @SOMEREAD_4107, chromosome: Chromosome_1, strand: +, position: 31863 
read name: @SOMEREAD_1851, chromosome: Chromosome_1, strand: +, position: 65944 
read name: @SOMEREAD_337, chromosome: Chromosome_1, strand: +, position: 125821 
read name: @SOMEREAD_447, chromosome: Chromosome_2, strand: +, position: 39837 
read name: @SOMEREAD_9291, chromosome: Chromosome_0, strand: +, position: 28961 
read name: @SOMEREAD_4877, chromosome: Chromosome_0, strand: +, position: 88128 
read name: @SOMEREAD_3169, chromosome: Chromosome_2, strand: +, position: 8780 
read name: @SOMEREAD_9818, chromosome: Chromosome_0, strand: +, position: 451260 
read name: @SOMEREAD_1929, chromosome: Chromosome_1, strand: +, position: 186530 
read name: @SOMEREAD_8762, chromosome: Chromosome_0, strand: +, position: 443234 
read name: @SOMEREAD_3230, chromosome: Chromosome_1, strand: +, position: 48438 
read name: @SOMEREAD_4104, chromosome: Chromosome_1, strand: +, position: 158703 
read name: @SOMEREAD_1468, chromosome: Chromosome_1, strand: +, position: 85085 
read name: @SOMEREAD_8222, chromosome: Chromosome_0, strand: +, position: 431439 
read name: @SOMEREAD_8570, chromosome: Chromosome_0, strand: +, position: 415323 
read name: @SOMEREAD_476, chromosome: Chromosome_2, strand: +, position: 82743 
read name: @SOMEREAD_7350, chromosome: Chromosome_2, strand: +, position: 67893 
read name: @SOMEREAD_8486, chromosome: Chromosome_0, strand: +, position: 305847 
read name: @SOMEREAD_7801, chromosome: Chromosome_2, strand: +, position: 36003 
read name: @SOMEREAD_7072, chromosome: Chromosome_2, strand: +, position: 46162 
read name: @SOMEREAD_2359, chromosome: Chromosome_0, strand: +, position: 104390 
read name: @SOMEREAD_9952, chromosome: Chromosome_0, strand: +, position: 393473 
read name: @SOMEREAD_9061, chromosome: Chromosome_1, strand: +, position: 30063 
read name: @SOMEREAD_5841, chromosome: Chromosome_0, strand: +, position: 188145 
read name: @SOMEREAD_8027, chromosome: Chromosome_2, strand: +, position: 16943 
read name: @SOMEREAD_355, chromosome: Chromosome_2, strand: +, position: 57680 
read name: @SOMEREAD_9481, chromosome: Chromosome_2, strand: +, position: 84847 
read name: @SOMEREAD_8730, chromosome: Chromosome_0, strand: +, position: 87880 
read name: @SOMEREAD_6337, chromosome: Chromosome_1, strand: +, position: 177464 
read name: @SOMEREAD_1144, chromosome: Chromosome_0, strand: +, position: 494693 
read name: @SOMEREAD_207, chromosome: Chromosome_0, strand: +, position: 379394 
read name: @SOMEREAD_5539, chromosome: Chromosome_1, strand: +, position: 170253 
read name: @SOMEREAD_1686, chromosome: Chromosome_1, strand: +, position: 227225 
read name: @SOMEREAD_2563, chromosome: Chromosome_2, strand: +, position: 84853 
read name: @SOMEREAD_4356, chromosome: Chromosome_1, strand: +, position: 217920 
read name: @SOMEREAD_7385, chromosome: Chromosome_1, strand: +, position: 16526 
read name: @SOMEREAD_4409, chromosome: Chromosome_0, strand: +, position: 219304 
read name: @SOMEREAD_2096, chromosome: Chromosome_1, strand: +, position: 131837 
read name: @SOMEREAD_1990, chromosome: Chromosome_2, strand: +, position: 31829 
read name: @SOMEREAD_105, chromosome: Chromosome_2, strand: +, position: 13394 
read name: @SOMEREAD_8926, chromosome: Chromosome_1, strand: +, position: 86039 
read name: @SOMEREAD_2283, chromosome: Chromosome_1, strand: +, position: 146931 
read name: @SOMEREAD_9017, chromosome: Chromosome_0, strand: +, position: 299899 
read name: @SOMEREAD_1872, chromosome: Chromosome_0, strand: +, position: 336611 
read name: @SOMEREAD_9669, chromosome: Chromosome_2, strand: +, position: 17767 
read name: @SOMEREAD_3899, chromosome: Chromosome_2, strand: +, position: 65823 
read name: @SOMEREAD_5325, chromosome: Chromosome_1, strand: +, position: 157918 
read name: @SOMEREAD_2200, chromosome: Chromosome_1, strand: +, position: 6673 
read name: @SOMEREAD_6818, chromosome: Chromosome_0, strand: +, position: 382122 
read name: @SOMEREAD_3152, chromosome: Chromosome_1, strand: +, position: 48154 
read name: @SOMEREAD_3217, chromosome: Chromosome_1, strand: +, position: 10741 
read name: @SOMEREAD_9274, chromosome: Chromosome_0, strand: +, position: 238171 
read name: @SOMEREAD_2259, chromosome: Chromosome_0, strand: +, position: 136434 
read name: @SOMEREAD_2105, chromosome: Chromosome_1, strand: +, position: 161365 
read name: @SOMEREAD_8711, chromosome: Chromosome_2, strand: +, position: 54156 
read name: @SOMEREAD_1669, chromosome: Chromosome_2, strand: +, position: 39580 
read name: @SOMEREAD_9621, chromosome: Chromosome_1, strand: +, position: 141460 
read name: @SOMEREAD_4489, chromosome: Chromosome_1, strand: +, position: 197065 
read name: @SOMEREAD_7059, chromosome: Chromosome_1, strand: +, position: 224233 
read name: @SOMEREAD_2616, chromosome: Chromosome_1, strand: +, position: 147339 
read name: @SOMEREAD_2399, chromosome: Chromosome_2, strand: +, position: 68464 
read name: @SOMEREAD_2470, chromosome: Chromosome_1, strand: +, position: 156363 
read name: @SOMEREAD_7342, chromosome: Chromosome_1, strand: +, position: 31121 
read name: @SOMEREAD_6627, chromosome: Chromosome_0, strand: +, position: 61175 
read name: @SOMEREAD_3313, chromosome: Chromosome_2, strand: +, position: 62349 
read name: @SOMEREAD_7740, chromosome: Chromosome_2, strand: +, position: 40333 
read name: @SOMEREAD_7239, chromosome: Chromosome_1, strand: +, position: 160264 
read name: @SOMEREAD_4075, chromosome: Chromosome_1, strand: +, position: 9772 
read name: @SOMEREAD_50, chromosome: Chromosome_1, strand: +, position: 243848 
read name: @SOMEREAD_2960, chromosome: Chromosome_2, strand: +, position: 2587 
read name: @SOMEREAD_9223, chromosome: Chromosome_0, strand: +, position: 196663 
read name: @SOMEREAD_6768, chromosome: Chromosome_0, strand: +, position: 172754 
read name: @SOMEREAD_3865, chromosome: Chromosome_0, strand: +, position: 443176 
read name: @SOMEREAD_6358, chromosome: Chromosome_1, strand: +, position: 102024 
read name: @SOMEREAD_8990, chromosome: Chromosome_0, strand: +, position: 349484 
read name: @SOMEREAD_2173, chromosome: Chromosome_2, strand: +, position: 44860 
read name: @SOMEREAD_5063, chromosome: Chromosome_2, strand: +, position: 30470 
read name: @SOMEREAD_5989, chromosome: Chromosome_1, strand: +, position: 208989 
read name: @SOMEREAD_7333, chromosome: Chromosome_1, strand: +, position: 141536 
read name: @SOMEREAD_8681, chromosome: Chromosome_2, strand: +, position: 4762 
read name: @SOMEREAD_985, chromosome: Chromosome_2, strand: +, position: 68509 
read name: @SOMEREAD_7273, chromosome: Chromosome_0, strand: +, position: 108531 
read name: @SOMEREAD_2902, chromosome: Chromosome_1, strand: +, position: 65610 
read name: @SOMEREAD_5434, chromosome: Chromosome_1, strand: +, position: 228360 
read name: @SOMEREAD_7812, chromosome: Chromosome_1, strand: +, position: 77453 
read name: @SOMEREAD_7097, chromosome: Chromosome_2, strand: +, position: 45504 
read name: @SOMEREAD_3179, chromosome: Chromosome_0, strand: +, position: 237601 
read name: @SOMEREAD_3409, chromosome: Chromosome_1, strand: +, position: 87481 
read name: @SOMEREAD_8404, chromosome: Chromosome_1, strand: +, position: 229882 
read name: @SOMEREAD_3830, chromosome: Chromosome_0, strand: +, position: 319573 
read name: @SOMEREAD_6715, chromosome: Chromosome_1, strand: +, position: 239235 
read name: @SOMEREAD_3017, chromosome: Chromosome_1, strand: +, position: 70617 
read name: @SOMEREAD_8768, chromosome: Chromosome_0, strand: +, position: 122251 
read name: @SOMEREAD_2651, chromosome: Chromosome_1, strand: +, position: 66575 
read name: @SOMEREAD_4745, chromosome: Chromosome_2, strand: +, position: 11059 
read name: @SOMEREAD_7869, chromosome: Chromosome_2, strand: +, position: 13986 
read name: @SOMEREAD_7091, chromosome: Chromosome_2, strand: +, position: 41540 
read name: @SOMEREAD_8359, chromosome: Chromosome_1, strand: +, position: 108676 
read name: @SOMEREAD_4188, chromosome: Chromosome_0, strand: +, position: 84221 
read name: @SOMEREAD_9653, chromosome: Chromosome_2, strand: +, position: 13127 
read name: @SOMEREAD_9493, chromosome: Chromosome_2, strand: +, position: 77697 
read name: @SOMEREAD_6224, chromosome: Chromosome_0, strand: +, position: 237393 
read name: @SOMEREAD_4281, chromosome: Chromosome_2, strand: +, position: 12685 
read name: @SOMEREAD_373, chromosome: Chromosome_2, strand: +, position: 9462 
read name: @SOMEREAD_8723, chromosome: Chromosome_2, strand: +, position: 14611 
read name: @SOMEREAD_4161, chromosome: Chromosome_1, strand: +, position: 218133 
read name: @SOMEREAD_3596, chromosome: Chromosome_0, strand: +, position: 127419 
read name: @SOMEREAD_7243, chromosome: Chromosome_2, strand: +, position: 93964 
read name: @SOMEREAD_7166, chromosome: Chromosome_0, strand: +, position: 68516 
read name: @SOMEREAD_6412, chromosome: Chromosome_0, strand: +, position: 473366 
read name: @SOMEREAD_674, chromosome: Chromosome_1, strand: +, position: 162801 
read name: @SOMEREAD_9718, chromosome: Chromosome_0, strand: +, position: 10357 
read name: @SOMEREAD_361, chromosome: Chromosome_2, strand: +, position: 88992 
read name: @SOMEREAD_8545, chromosome: Chromosome_0, strand: +, position: 456937 
read name: @SOMEREAD_5826, chromosome: Chromosome_0, strand: +, position: 391446 
read name: @SOMEREAD_9119, chromosome: Chromosome_2, strand: +, position: 86727 
read name: @SOMEREAD_8509, chromosome: Chromosome_1, strand: +, position: 198521 
read name: @SOMEREAD_5447, chromosome: Chromosome_2, strand: +, position: 16040 
read name: @SOMEREAD_7677, chromosome: Chromosome_0, strand: +, position: 33734 
read name: @SOMEREAD_5239, chromosome: Chromosome_0, strand: +, position: 18173 
read name: @SOMEREAD_7572, chromosome: Chromosome_1, strand: +, position: 124122 
read name: @SOMEREAD_5377, chromosome: Chromosome_2, strand: +, position: 75246 
read name: @SOMEREAD_6675, chromosome: Chromosome_0, strand: +, position: 226305 
read name: @SOMEREAD_7935, chromosome: Chromosome_1, strand: +, position: 94065 
read name: @SOMEREAD_6751, chromosome: Chromosome_0, strand: +, position: 14560 
read name: @SOMEREAD_7397, chromosome: Chromosome_0, strand: +, position: 370548 
read name: @SOMEREAD_2209, chromosome: Chromosome_1, strand: +, position: 50882 
read name: @SOMEREAD_4136, chromosome: Chromosome_1, strand: +, position: 186411 
read name: @SOMEREAD_5303, chromosome: Chromosome_1, strand: +, position: 188379 
read name: @SOMEREAD_2099, chromosome: Chromosome_0, strand: +, position: 329988 
read name: @SOMEREAD_1987, chromosome: Chromosome_0, strand: +, position: 499184 
read name: @SOMEREAD_190, chromosome: Chromosome_2, strand: +, position: 87870 
read name: @SOMEREAD_6741, chromosome: Chromosome_2, strand: +, position: 23170 
read name: @SOMEREAD_2031, chromosome: Chromosome_0, strand: +, position: 57905 
read name: @SOMEREAD_4011, chromosome: Chromosome_1, strand: +, position: 123395 
read name: @SOMEREAD_9053, chromosome: Chromosome_0, strand: +, position: 462339 
read name: @SOMEREAD_7126, chromosome: Chromosome_2, strand: +, position: 68273 
read name: @SOMEREAD_6377, chromosome: Chromosome_2, strand: +, position: 3916 
read name: @SOMEREAD_6788, chromosome: Chromosome_1, strand: +, position: 208678 
read name: @SOMEREAD_7131, chromosome: Chromosome_1, strand: +, position: 93874 
read name: @SOMEREAD_7446, chromosome: Chromosome_1, strand: +, position: 78944 
read name: @SOMEREAD_8411, chromosome: Chromosome_1, strand: +, position: 167833 
read name: @SOMEREAD_9943, chromosome: Chromosome_2, strand: +, position: 54546 
read name: @SOMEREAD_5422, chromosome: Chromosome_0, strand: +, position: 308332 
read name: @SOMEREAD_6924, chromosome: Chromosome_2, strand: +, position: 28165 
read name: @SOMEREAD_7083, chromosome: Chromosome_0, strand: +, position: 75370 
read name: @SOMEREAD_2666, chromosome: Chromosome_1, strand: +, position: 99153 
read name: @SOMEREAD_9049, chromosome: Chromosome_0, strand: +, position: 51743 
read name: @SOMEREAD_4260, chromosome: Chromosome_2, strand: +, position: 91637 
read name: @SOMEREAD_1013, chromosome: Chromosome_1, strand: +, position: 203269 
read name: @SOMEREAD_9577, chromosome: Chromosome_1, strand: +, position: 133743 
read name: @SOMEREAD_7376, chromosome: Chromosome_0, strand: +, position: 474721 
read name: @SOMEREAD_9649, chromosome: Chromosome_1, strand: +, position: 49086 
read name: @SOMEREAD_8538, chromosome: Chromosome_0, strand: +, position: 335939 
read name: @SOMEREAD_8279, chromosome: Chromosome_1, strand: +, position: 49378 
read name: @SOMEREAD_575, chromosome: Chromosome_0, strand: +, position: 458643 
